0.00000        0.00000
0.03149        0.09446
0.06299        0.18877
0.09448        0.28278
0.12598        0.37634
0.15747        0.46930
0.18897        0.56153
0.22046        0.65286
0.25196        0.74317
0.28345        0.83230
0.31495        0.92012
0.34644        1.00651
0.37794        1.09131
0.40943        1.17441
0.44093        1.25568
0.47242        1.33500
0.50391        1.41225
0.53541        1.48733
0.56690        1.56012
0.59840        1.63052
0.62989        1.69843
0.66139        1.76377
0.69288        1.82645
0.72438        1.88638
0.75587        1.94350
0.78737        1.99772
0.81886        2.04900
0.85036        2.09727
0.88185        2.14249
0.91335        2.18460
0.94484        2.22358
0.97633        2.25938
1.00783        2.29199
1.03932        2.32139
1.07082        2.34756
1.10231        2.37049
1.13381        2.39020
1.16530        2.40668
1.19680        2.41995
1.22829        2.43003
1.25979        2.43694
1.29128        2.44071
1.32278        2.44137
1.35427        2.43898
1.38577        2.43357
1.41726        2.42521
1.44875        2.41393
1.48025        2.39982
1.51174        2.38293
1.54324        2.36334
1.57473        2.34111
1.60623        2.31634
1.63772        2.28910
1.66922        2.25948
1.70071        2.22756
1.73221        2.19345
1.76370        2.15723
1.79520        2.11901
1.82669        2.07888
1.85819        2.03694
1.88968        1.99331
1.92117        1.94807
1.95267        1.90135
1.98416        1.85324
2.01566        1.80386
2.04715        1.75330
2.07865        1.70169
2.11014        1.64912
2.14164        1.59571
2.17313        1.54156
2.20463        1.48678
2.23612        1.43147
2.26762        1.37574
2.29911        1.31968
2.33061        1.26341
2.36210        1.20701
2.39359        1.15059
2.42509        1.09424
2.45658        1.03805
2.48808        0.98211
2.51957        0.92651
2.55107        0.87133
2.58256        0.81665
2.61406        0.76256
2.64555        0.70912
2.67705        0.65641
2.70854        0.60450
2.74004        0.55344
2.77153        0.50331
2.80303        0.45417
2.83452        0.40605
2.86601        0.35902
2.89751        0.31313
2.92900        0.26841
2.96050        0.22491
2.99199        0.18266
3.02349        0.14170
3.05498        0.10205
3.08648        0.06375
3.11797        0.02680
3.14947        -0.00876
3.18096        -0.04293
3.21246        -0.07568
3.24395        -0.10702
3.27544        -0.13694
3.30694        -0.16542
3.33843        -0.19249
3.36993        -0.21813
3.40142        -0.24235
3.43292        -0.26517
3.46441        -0.28659
3.49591        -0.30663
3.52740        -0.32531
3.55890        -0.34263
3.59039        -0.35863
3.62189        -0.37333
3.65338        -0.38674
3.68488        -0.39891
3.71637        -0.40984
3.74786        -0.41958
3.77936        -0.42816
3.81085        -0.43560
3.84235        -0.44194
3.87384        -0.44722
3.90534        -0.45147
3.93683        -0.45472
3.96833        -0.45701
3.99982        -0.45838
4.03132        -0.45887
4.06281        -0.45852
4.09431        -0.45735
4.12580        -0.45542
4.15730        -0.45276
4.18879        -0.44941
4.22028        -0.44540
4.25178        -0.44078
4.28327        -0.43558
4.31477        -0.42984
4.34626        -0.42360
4.37776        -0.41689
4.40925        -0.40975
4.44075        -0.40221
4.47224        -0.39432
4.50374        -0.38609
4.53523        -0.37757
4.56673        -0.36879
4.59822        -0.35977
4.62972        -0.35056
4.66121        -0.34117
4.69270        -0.33163
4.72420        -0.32198
4.75569        -0.31224
4.78719        -0.30243
4.81868        -0.29258
4.85018        -0.28271
4.88167        -0.27284
4.91317        -0.26300
4.94466        -0.25320
4.97616        -0.24346
5.00765        -0.23380
5.03915        -0.22424
5.07064        -0.21478
5.10214        -0.20546
5.13363        -0.19627
5.16512        -0.18723
5.19662        -0.17835
5.22811        -0.16965
5.25961        -0.16112
5.29110        -0.15279
5.32260        -0.14465
5.35409        -0.13672
5.38559        -0.12900
5.41708        -0.12149
5.44858        -0.11420
5.48007        -0.10713
5.51157        -0.10029
5.54306        -0.09368
5.57456        -0.08729
5.60605        -0.08113
5.63754        -0.07520
5.66904        -0.06950
5.70053        -0.06403
5.73203        -0.05878
5.76352        -0.05376
5.79502        -0.04896
5.82651        -0.04438
5.85801        -0.04001
5.88950        -0.03586
5.92100        -0.03191
5.95249        -0.02817
5.98399        -0.02463
6.01548        -0.02128
6.04698        -0.01813
