SLC Damping Ring Gated camera results.  10 e+ verical profiles at I=1.75mA.  
The distance beteeen each pixel on the gated camera is 1 micron.  
Pixel    Pic1(Counts) Pic2(Counts) Pic3(Counts) Pic4(Counts) Pic5(Counts) Pic6(Counts) Pic7(Counts) Pic8(Counts) Pic9(Counts) Pic10(Counts)
 49      452.81485    459.38920    446.04201    409.96419    439.12816    446.82885    413.59160    425.41405    446.56090    456.73506   
 50      439.01809    445.65974    476.51464    437.99630    424.85917    441.79368    424.38383    454.01239    414.46956    460.42841   
 51      448.65555    464.24269    457.56096    471.93876    475.90100    460.88734    484.50641    453.26419    471.11119    468.85949   
 52      456.27172    460.73235    470.74150    478.97737    486.37219    456.41193    454.06880    478.29223    469.06278    489.12150   
 53      455.31723    484.75229    473.70844    477.87465    467.20610    484.11421    506.33065    495.56628    482.94962    508.68373   
 54      458.05419    509.75897    490.93494    491.60152    474.70482    483.62631    461.85268    487.01467    493.62238    484.18025   
 55      503.01441    494.48528    522.82501    480.14799    511.37027    519.73028    511.27762    501.38801    509.68014    490.16394   
 56      518.82754    506.75049    516.34144    520.41380    491.90211    532.44419    506.53755    507.67315    553.20349    512.56793   
 57      538.75483    495.06234    565.48976    552.29685    538.27422    538.95010    516.94672    528.58032    524.19849    539.76607   
 58      566.33771    559.97610    553.88706    536.99468    548.57997    538.64937    528.05714    528.36563    515.09163    543.32494   
 59      587.29955    529.50758    542.08212    593.68056    527.30690    554.31971    546.45104    557.37295    539.53497    546.26426   
 60      562.61552    563.45891    587.75685    556.93554    533.12839    614.49065    557.09674    575.97003    551.23387    546.85267   
 61      553.75972    591.03174    561.93988    572.30230    562.04331    567.93366    585.51563    581.89016    542.99995    553.96120   
 62      621.98388    562.33982    579.91243    630.92314    585.47996    588.62109    589.74573    588.78007    593.53424    609.69589   
 63      619.14108    587.29758    589.14292    612.50849    562.82728    617.85256    567.69557    583.16097    596.33852    651.85950   
 64      581.78905    611.52178    638.82403    640.42094    631.66631    601.28323    583.38240    609.90226    614.44126    649.18937   
 65      599.81106    606.74279    626.47366    641.46475    626.82142    658.16172    631.08538    586.37565    616.40809    638.79489   
 66      666.05967    653.33331    633.38060    623.83885    672.49897    642.34252    626.21736    628.87351    671.81141    656.93700   
 67      654.69712    652.67382    686.26116    655.82779    678.84212    693.13716    646.46274    664.40648    658.21748    633.40002   
 68      669.32411    714.69819    684.10246    647.73845    676.60189    665.03634    706.79777    663.03769    720.78933    635.03066   
