% nonlinear oscillator
%
% time (sec)       theta (rad)
170.41681410      -0.08023394
172.37034271       0.08675134
174.32295179      -0.43035314
176.30566140      -0.52729915
178.29139019      -0.06609140
180.24248789       0.09083875
182.19450405       0.20496492
184.17977070      -0.33303136
186.16201799      -0.31586490
188.11554178      -0.06181723
190.06814691       0.18453657
192.05085156      -0.22452869
194.03657228      -0.44993942
195.98766758      -0.12771784
197.93968048       0.50308229
199.92493949      -0.15555651
201.90718226       0.02271811
203.86070125      -0.49389428
205.81330242      -0.28987961
207.79600212       0.80438874
209.78171478       0.70094663
211.73280769       0.06745595
213.68481734      -0.20332422
215.67006872      -0.42414331
217.65230698      -0.60489971
219.60582115       0.50140471
221.55841838      -0.25877268
223.54111313       0.13414841
225.52681774       0.21332579
227.47790826       0.44881376
229.42991466       0.18084342
231.41515842      -0.66844206
233.39739217       0.21640445
235.35090154       0.67593306
237.30349482      -0.65661644
239.28618464       0.44418987
241.27188120       0.50641180
243.22296934       0.25855306
245.17497250       1.12409982
247.16020864       0.23038549
249.14243788      -0.62997286
251.09594246       0.43298167
253.04853180       0.42248141
255.03121669      -0.46506986
257.01690521       0.13039627
258.96799097      -0.11757637
260.91999089      -0.27051352
262.90521942      -0.41974623
264.88744416       0.53986389
266.84094395      -0.37494469
268.79352936      -0.39259316
270.77620932      -0.27164404
272.76188981      -0.42987970
274.71297319      -0.01471655
276.66496987       0.33872322
278.65019081       0.13114050
280.63241106       0.36725970
282.58590606      -0.17709985
284.53848754       0.33642435
286.52116258      -0.32516666
288.50683506       0.15594376
290.45791606      -0.02021485
292.40990950      -0.10848239
294.39512286       0.06233528
296.37733861      -0.71646364
298.33082884       0.16900997
300.28340639      -0.15397772
302.26607652       0.06898307
304.25174098      -0.15020420
306.20281960      -0.09664333
308.15480982       0.43955792
310.14001560      -0.49421267
312.12222687       0.31379794
314.07571232      -0.85301978
316.02828595       0.31197093
318.01095117      -0.45464277
319.99660763       0.37624117
321.94768388      -0.14449960
323.89967087       0.02305040
325.88486908      -0.04001369
327.86707587       0.55474755
329.82055655       0.21267306
